field,cameras,angle_deg,current_snap,discarded_deg,mod90,flip_band,multicam_cardinal_conflict,axis1_2d_len,det2d
bdin2,1,-0.73,0.0,0.73,0.73,False,False,0.8961,-1.0
bdin3,1,14.06,0.0,14.06,14.06,False,False,0.5535,-1.0
bdin4,1,0.48,0.0,0.48,0.48,False,False,0.3889,-1.0
bdin5,1,15.46,0.0,15.46,15.46,False,False,0.1836,-1.0
bdview1,1,0.0,0.0,0.0,0.0,False,False,0.0852,-1.0
bg2f_1,1,65.38,90.0,24.62,65.38,False,False,0.918,-1.0
bg2f_11,1,65.38,90.0,24.62,65.38,False,False,0.918,-1.0
bg2f_1a,1,65.38,90.0,24.62,65.38,False,False,0.918,-1.0
bg2f_2,1,60.47,90.0,29.53,60.47,False,False,0.1295,1.0
bg2f_21,1,60.47,90.0,29.53,60.47,False,False,0.1295,1.0
bg2f_22,1,60.47,90.0,29.53,60.47,False,False,0.1295,1.0
bg2f_3,1,78.55,90.0,11.45,78.55,False,False,0.0022,0.996
bg2f_31,1,78.55,90.0,11.45,78.55,False,False,0.0022,0.996
bg2f_4,1,60.47,90.0,29.53,60.47,False,False,0.1295,1.0
bgbook1a,1,77.21,90.0,12.79,77.21,False,False,0.0611,1.0
bgbook1b,1,77.21,90.0,12.79,77.21,False,False,0.0611,1.0
bgbook2a,1,47.0,90.0,43.0,47.0,False,False,0.1957,1.0
bgbook3a,1,109.01,90.0,19.01,19.01,False,False,0.0697,-1.0
bgbook_1,1,77.21,90.0,12.79,77.21,False,False,0.0611,1.0
bgbook_2,1,47.0,90.0,43.0,47.0,False,False,0.1957,1.0
bgbook_3,1,109.01,90.0,19.01,19.01,False,False,0.0697,-1.0
bgbtl_1,1,-1.9,0.0,1.9,1.9,False,False,0.0085,1.0
bgcrash1,1,-155.67,-180.0,24.33,65.67,False,False,0.0942,1.0
bgeat1a,1,-3.4,0.0,3.4,3.4,False,False,0.1781,-1.0
bgeat2a,1,-48.44,-90.0,41.56,48.44,False,False,0.1887,-1.0
bgeat_1,1,-3.4,0.0,3.4,3.4,False,False,0.1781,-1.0
bgeat_2,1,-48.44,-90.0,41.56,48.44,False,False,0.1887,-1.0
bgeat_3,1,121.05,90.0,31.05,31.05,True,False,0.1146,1.0
bggate6a,1,36.31,0.0,36.31,36.31,True,False,0.4137,-1.0
bggate_1,1,-66.99,-90.0,23.01,66.99,False,False,0.0469,-0.996
bggate_2,1,-6.17,0.0,6.17,6.17,False,False,0.1793,-1.0
bggate_4,1,0.0,0.0,0.0,0.0,False,False,0.1006,1.0
bggate_5,1,-13.94,0.0,13.94,13.94,False,False,0.039,-1.0
bggate_6,1,36.31,0.0,36.31,36.31,True,False,0.4137,-1.0
bghall1a,1,7.73,0.0,7.73,7.73,False,False,0.3328,-1.0
bghall1b,1,7.73,0.0,7.73,7.73,False,False,0.3328,-1.0
bghall2a,1,19.01,0.0,19.01,19.01,False,False,0.6726,-1.0
bghall3a,1,-33.89,0.0,33.89,33.89,True,False,0.2421,-1.0
bghall4a,1,23.8,0.0,23.8,23.8,False,False,0.0491,-1.0
bghall6b,1,-17.58,0.0,17.58,17.58,False,False,0.1427,-1.0
bghall_1,1,7.73,0.0,7.73,7.73,False,False,0.3328,-1.0
bghall_2,1,19.01,0.0,19.01,19.01,False,False,0.6726,-1.0
bghall_3,1,-33.89,0.0,33.89,33.89,True,False,0.2421,-1.0
bghall_4,1,23.8,0.0,23.8,23.8,False,False,0.0491,-1.0
bghall_5,1,-0.24,0.0,0.24,0.24,False,False,0.4868,-1.0
bghall_6,1,-17.58,0.0,17.58,17.58,False,False,0.1427,-1.0
bghall_7,1,0.0,0.0,0.0,0.0,False,False,1.0,-1.0
bghall_8,1,0.97,0.0,0.97,0.97,False,False,0.0386,-1.0
bghoke_1,1,0.71,0.0,0.71,0.71,False,False,0.0588,-1.0
bghoke_2,1,17.73,0.0,17.73,17.73,False,False,0.4975,-1.0
bghoke_3,1,71.65,90.0,18.35,71.65,False,False,0.2742,-1.0
bgkote1a,1,-47.73,-90.0,42.27,47.73,False,False,0.1861,-1.0
bgkote3a,1,13.43,0.0,13.43,13.43,False,False,0.5793,-1.0
bgkote_1,1,-47.73,-90.0,42.27,47.73,False,False,0.1861,-1.0
bgkote_2,1,-47.73,-90.0,42.27,47.73,False,False,0.1861,-1.0
bgkote_3,1,13.43,0.0,13.43,13.43,False,False,0.5793,-1.0
bgkote_4,1,-21.65,0.0,21.65,21.65,False,False,0.026,1.0
bgkote_5,1,-47.73,-90.0,42.27,47.73,False,False,0.1861,-1.0
bgmast_1,1,-1.01,0.0,1.01,1.01,False,False,0.1055,1.0
bgmast_2,1,16.99,0.0,16.99,16.99,False,False,0.1036,-1.0
bgmast_3,1,16.99,0.0,16.99,16.99,False,False,0.1036,-1.0
bgmast_4,1,134.6,90.0,44.6,44.6,True,False,0.0432,1.0
bgmast_5,2,108.01,90.0,18.01,18.01,False,True,0.5834,-1.0
bgmast_6,1,0.0,0.0,0.0,0.0,False,False,1.0,-1.0
bgmd1_1,1,-63.73,-90.0,26.27,63.73,False,False,0.2466,1.0
bgmd1_2,1,0.0,0.0,0.0,0.0,False,False,0.1208,-1.0
bgmd1_3,1,-8.01,0.0,8.01,8.01,False,False,0.963,-1.0
bgmd1_4,1,-61.8,-90.0,28.2,61.8,False,False,0.0909,-1.0
bgmd2_1,1,-37.11,0.0,37.11,37.11,True,False,0.3125,1.0
bgmd2_3,1,48.08,90.0,41.92,48.08,False,False,0.0897,-0.998
bgmd2_4,1,36.88,0.0,36.88,36.88,True,False,0.0797,1.0
bgmd2_5,1,22.27,0.0,22.27,22.27,False,False,0.1975,-1.0
bgmd2_6,1,-55.18,-90.0,34.82,55.18,False,False,0.1272,-1.0
bgmd2_7,1,-87.79,-90.0,2.21,87.79,False,False,0.7212,-1.0
bgmd2_8,1,37.59,0.0,37.59,37.59,True,False,0.32,-1.0
bgmd3_1,1,-59.79,-90.0,30.21,59.79,False,False,0.0054,1.0
bgmd3_2,1,-66.64,-90.0,23.36,66.64,False,False,0.4535,-1.0
bgmd4_1,1,-15.81,0.0,15.81,15.81,False,False,0.0002,-0.272
bgmd4_2,1,-0.01,0.0,0.01,0.01,False,False,0.3435,1.0
bgmd4_3,1,0.0,0.0,0.0,0.0,False,False,0.5195,-1.0
bgmdele1,1,-61.01,-90.0,28.99,61.01,False,False,0.6512,-1.0
bgmdele2,1,-36.61,0.0,36.61,36.61,True,False,0.8441,1.0
bgmdele3,1,-50.02,-90.0,39.98,50.02,False,False,0.958,0.999
bgmdele4,1,159.16,180.0,20.84,69.16,False,False,0.1238,-1.0
bgmon_1,1,6.59,0.0,6.59,6.59,False,False,0.8071,-1.0
bgmon_2,1,-11.49,0.0,11.49,11.49,False,False,0.3725,-1.0
bgmon_4,1,-11.76,0.0,11.76,11.76,False,False,0.3786,-1.0
bgmon_5,1,10.92,0.0,10.92,10.92,False,False,0.3175,-1.0
bgmon_6,1,8.31,0.0,8.31,8.31,False,False,0.2356,-1.0
bgpark_1,1,-9.03,0.0,9.03,9.03,False,False,0.1249,-0.999
bgpaty_1,1,-58.32,-90.0,31.68,58.32,False,False,0.154,1.0
bgpaty_2,1,145.81,180.0,34.19,55.81,False,False,0.1311,-1.0
bgrank1,1,0.0,0.0,0.0,0.0,False,False,1.0,-1.0
bgroad_1,1,81.29,90.0,8.71,81.29,False,False,0.8126,-1.0
bgroad_2,1,101.11,90.0,11.11,11.11,False,False,0.6113,-1.0
bgroad_3,1,116.62,90.0,26.62,26.62,False,False,0.2111,-1.0
bgroad_4,1,-0.01,0.0,0.01,0.01,False,False,0.4968,-1.0
bgroad_5,1,-90.11,-90.0,0.11,0.11,False,False,0.0,
bgroad_6,1,93.37,90.0,3.37,3.37,False,False,0.1768,-1.0
bgroad_7,1,0.0,0.0,0.0,0.0,False,False,0.063,-1.0
bgroad_9,1,-90.11,-90.0,0.11,0.11,False,False,0.0,
bgroom1a,2,-62.49,-90.0,27.51,62.49,False,False,0.1093,-1.0
bgroom_1,2,-62.49,-90.0,27.51,62.49,False,False,0.1093,-1.0
bgroom_2,1,-119.34,-90.0,29.34,29.34,False,False,0.1697,-0.994
bgroom_3,1,179.8,180.0,0.2,89.8,False,False,0.2468,-1.0
bgroom_4,1,179.94,180.0,0.06,89.94,False,False,0.26,-0.999
bgroom_5,1,-23.99,0.0,23.99,23.99,False,False,0.1243,-0.914
bgroom_6,1,-23.99,0.0,23.99,23.99,False,False,0.1243,-0.914
bgryo1_1,1,81.24,90.0,8.76,81.24,False,False,0.254,-1.0
bgryo1_2,1,46.6,90.0,43.4,46.6,False,False,0.3007,-1.0
bgryo1_3,1,-76.81,-90.0,13.19,76.81,False,False,0.2175,-1.0
bgryo1_4,1,46.6,90.0,43.4,46.6,False,False,0.3007,-1.0
bgryo1_5,1,46.6,90.0,43.4,46.6,False,False,0.3007,-1.0
bgryo1_6,1,46.6,90.0,43.4,46.6,False,False,0.3007,-1.0
bgryo1_7,1,81.24,90.0,8.76,81.24,False,False,0.254,-1.0
bgryo1_8,1,-76.81,-90.0,13.19,76.81,False,False,0.2175,-1.0
bgryo2_1,2,0.0,0.0,0.0,0.0,False,True,0.2224,-1.0
bgryo2_2,1,0.0,0.0,0.0,0.0,False,False,0.2224,-1.0
bgsecr_1,1,55.63,90.0,34.37,55.63,False,False,0.5139,-1.0
bgsecr_2,1,102.81,90.0,12.81,12.81,False,False,0.2183,1.0
bgsido1a,1,5.27,0.0,5.27,5.27,False,False,0.0105,1.0
bgsido5a,1,4.99,0.0,4.99,4.99,False,False,0.1194,1.0
bgsido_1,1,5.27,0.0,5.27,5.27,False,False,0.0105,1.0
bgsido_2,1,4.99,0.0,4.99,4.99,False,False,0.1194,1.0
bgsido_3,1,32.6,0.0,32.6,32.6,True,False,0.288,-1.0
bgsido_4,1,29.8,0.0,29.8,29.8,False,False,0.041,-1.0
bgsido_5,1,4.99,0.0,4.99,4.99,False,False,0.1194,1.0
bgsido_6,1,4.99,0.0,4.99,4.99,False,False,0.1194,1.0
bgsido_7,1,32.6,0.0,32.6,32.6,True,False,0.288,-1.0
bgsido_8,1,32.6,0.0,32.6,32.6,True,False,0.288,-1.0
bgsido_9,1,29.8,0.0,29.8,29.8,False,False,0.041,-1.0
bvboat_1,1,-0.41,0.0,0.41,0.41,False,False,0.2991,-1.0
bvboat_2,1,0.1,0.0,0.1,0.1,False,False,0.0488,1.0
bvcar_1,1,0.45,0.0,0.45,0.45,False,False,0.2454,-1.0
bvtr_1,1,-170.46,-180.0,9.54,80.46,False,False,0.0851,1.0
bvtr_107,1,-170.46,-180.0,9.54,80.46,False,False,0.0851,1.0
bvtr_2,1,0.38,0.0,0.38,0.38,False,False,0.0566,1.0
bvtr_3,1,8.14,0.0,8.14,8.14,False,False,0.0101,-1.0
bvtr_4,1,-170.46,-180.0,9.54,80.46,False,False,0.0851,1.0
bvtr_5,1,8.14,0.0,8.14,8.14,False,False,0.0101,-1.0
cdfield1,1,-8.31,0.0,8.31,8.31,False,False,0.3745,-1.0
cdfield2,1,-26.32,0.0,26.32,26.32,False,False,0.1269,-1.0
cdfield3,1,-109.57,-90.0,19.57,19.57,False,False,0.0604,1.0
cdfield4,1,-8.21,0.0,8.21,8.21,False,False,0.7139,-1.0
cdfield5,1,-88.71,-90.0,1.29,88.71,False,False,0.3023,-1.0
cdfield6,1,12.43,0.0,12.43,12.43,False,False,0.8469,-0.999
cdfield7,1,-35.2,0.0,35.2,35.2,True,False,0.4007,-1.0
cdfield8,1,20.39,0.0,20.39,20.39,False,False,0.3682,-1.0
crenter1,1,17.1,0.0,17.1,17.1,False,False,0.0759,1.0
crodin1,1,0.35,0.0,0.35,0.35,False,False,0.187,1.0
cropen1,1,-32.29,0.0,32.29,32.29,True,False,0.2868,-1.0
crpower1,1,10.5,0.0,10.5,10.5,False,False,0.1961,-1.0
crroof1,1,60.33,90.0,29.67,60.33,False,False,0.4215,-1.0
crsanc1,1,89.92,90.0,0.08,89.92,False,False,0.2329,1.0
crsphi1,1,6.96,0.0,6.96,6.96,False,False,0.0096,-1.0
crtower1,1,112.61,90.0,22.61,22.61,False,False,0.4693,-1.0
crtower2,1,103.24,90.0,13.24,13.24,False,False,0.7785,-1.0
crtower3,1,-131.77,-90.0,41.77,41.77,True,False,0.0984,-1.0
crview1,1,-29.21,0.0,29.21,29.21,False,False,0.094,1.0
cwwood1,1,0.0,0.0,0.0,0.0,False,False,0.2209,-1.0
cwwood2,1,0.0,0.0,0.0,0.0,False,False,0.262,-1.0
cwwood3,1,0.0,0.0,0.0,0.0,False,False,0.574,-1.0
cwwood4,1,1.06,0.0,1.06,1.06,False,False,0.4989,-1.0
cwwood5,1,-0.71,0.0,0.71,0.71,False,False,0.4244,-1.0
cwwood6,1,-21.91,0.0,21.91,21.91,False,False,0.264,-1.0
cwwood7,1,0.0,0.0,0.0,0.0,False,False,0.2209,-1.0
ddruins1,1,49.5,90.0,40.5,49.5,False,False,0.3437,-1.0
ddruins2,1,8.89,0.0,8.89,8.89,False,False,0.9734,-1.0
ddruins3,1,56.41,90.0,33.59,56.41,False,False,0.4438,-1.0
ddruins4,1,10.5,0.0,10.5,10.5,False,False,0.9778,-1.0
ddruins5,1,45.6,90.0,44.4,45.6,False,False,0.9419,-1.0
ddruins6,1,7.96,0.0,7.96,7.96,False,False,0.2512,1.0
ddsteam1,1,-17.23,0.0,17.23,17.23,False,False,0.0225,1.0
ddtower1,1,-30.94,0.0,30.94,30.94,True,False,0.0151,1.0
ddtower2,1,-30.94,0.0,30.94,30.94,True,False,0.0151,1.0
ddtower3,1,-3.51,0.0,3.51,3.51,False,False,0.0144,1.0
ddtower4,1,-17.32,0.0,17.32,17.32,False,False,0.0406,1.0
ddtower5,1,-3.51,0.0,3.51,3.51,False,False,0.0345,1.0
ddtower6,1,19.47,0.0,19.47,19.47,False,False,0.6704,-1.0
doan1_1,1,73.37,90.0,16.63,73.37,False,False,0.7847,0.991
doan1_2,1,73.37,90.0,16.63,73.37,False,False,0.7847,0.991
doani1_1,2,-21.45,0.0,21.45,21.45,False,False,0.174,-1.0
doani1_2,2,-21.45,0.0,21.45,21.45,False,False,0.174,-1.0
doani2_1,1,3.1,0.0,3.1,3.1,False,False,0.6057,0.971
doani2_2,1,3.1,0.0,3.1,3.1,False,False,0.6057,0.971
doani3_1,1,57.7,90.0,32.3,57.7,False,False,0.689,-0.989
doani3_2,1,57.7,90.0,32.3,57.7,False,False,0.689,-0.989
doani4_1,1,129.4,90.0,39.4,39.4,True,False,0.1497,1.0
doani4_2,1,60.91,90.0,29.09,60.91,False,False,0.0929,-1.0
dogate1a,1,-50.31,-90.0,39.69,50.31,False,False,0.5448,-1.0
dogate_1,1,-50.31,-90.0,39.69,50.31,False,False,0.5448,-1.0
dogate_2,1,-2.7,0.0,2.7,2.7,False,False,0.3405,-1.0
dohtl_1,1,1.5,0.0,1.5,1.5,False,False,0.4462,-1.0
dohtr_1,1,22.19,0.0,22.19,22.19,False,False,0.0089,-1.0
domin2_1,1,15.49,0.0,15.49,15.49,False,False,0.0366,1.0
domt1_1,1,-0.21,0.0,0.21,0.21,False,False,0.0872,-1.0
domt2_1,1,-27.18,0.0,27.18,27.18,False,False,0.4613,-1.0
domt3_1,1,0.39,0.0,0.39,0.39,False,False,0.4417,-1.0
domt3_2,1,0.39,0.0,0.39,0.39,False,False,0.4417,-1.0
domt3_3,1,0.39,0.0,0.39,0.39,False,False,0.4417,-1.0
domt3_4,1,0.39,0.0,0.39,0.39,False,False,0.4417,-1.0
domt4_1,1,15.9,0.0,15.9,15.9,False,False,0.5016,-1.0
domt5_1,1,27.09,0.0,27.09,27.09,False,False,0.4305,-1.0
doopen1a,1,-5.21,0.0,5.21,5.21,False,False,0.242,-1.0
doopen2a,1,-7.8,0.0,7.8,7.8,False,False,0.2604,1.0
doopen_1,1,-5.21,0.0,5.21,5.21,False,False,0.242,-1.0
doopen_2,1,-7.8,0.0,7.8,7.8,False,False,0.2604,1.0
doport_1,1,-5.7,0.0,5.7,5.7,False,False,0.2284,-1.0
dopub_1,1,0.0,0.0,0.0,0.0,False,False,0.0,
dopub_2,1,-14.81,0.0,14.81,14.81,False,False,0.0892,-1.0
dopub_3,1,42.2,0.0,42.2,42.2,True,False,0.6101,-1.0
dosea_1,1,-36.41,0.0,36.41,36.41,True,False,0.3307,-1.0
dosea_2,1,-172.5,-180.0,7.5,82.5,False,False,0.0003,0.609
dotown1a,1,3.29,0.0,3.29,3.29,False,False,0.0611,-1.0
dotown2a,1,37.6,0.0,37.6,37.6,True,False,0.7348,-1.0
dotown3a,1,-1.3,0.0,1.3,1.3,False,False,0.3026,-1.0
dotown_1,1,3.29,0.0,3.29,3.29,False,False,0.0611,-1.0
dotown_2,1,37.6,0.0,37.6,37.6,True,False,0.7348,-1.0
dotown_3,1,-1.3,0.0,1.3,1.3,False,False,0.3026,-1.0
eaplane1,1,38.43,0.0,38.43,38.43,True,False,0.272,-1.0
eapod1,1,1.55,0.0,1.55,1.55,False,False,0.1207,1.0
ebadele1,1,-26.62,0.0,26.62,26.62,False,False,0.6737,-1.0
ebadele2,1,-25.81,0.0,25.81,25.81,False,False,0.2948,-1.0
ebadele3,2,29.04,0.0,29.04,29.04,False,False,0.3469,1.0
ebadele4,1,-8.61,0.0,8.61,8.61,False,False,0.1573,1.0
ebadele5,1,2.38,0.0,2.38,2.38,False,False,0.2822,1.0
ebcont1,1,-167.68,-180.0,12.32,77.68,False,False,0.1082,1.0
ebcont2,2,-169.76,-180.0,10.24,79.76,False,True,0.3538,1.0
ebcont3,1,-33.69,0.0,33.69,33.69,True,False,0.0989,-1.0
ebexit1,1,-16.9,0.0,16.9,16.9,False,False,0.0796,-1.0
ebexit2,1,-25.39,0.0,25.39,25.39,False,False,0.812,-1.0
ebexit3,1,-1.86,0.0,1.86,1.86,False,False,0.2623,-1.0
ebexit4,1,-11.71,0.0,11.71,11.71,False,False,0.2718,-1.0
ebexit5,1,9.13,0.0,9.13,9.13,False,False,0.1461,-1.0
ebexit6,1,-0.01,0.0,0.01,0.01,False,False,0.4741,1.0
ebgate1,1,-86.63,-90.0,3.37,86.63,False,False,0.9998,-1.0
ebgate1a,1,-86.63,-90.0,3.37,86.63,False,False,0.9998,-1.0
ebgate2,1,167.4,180.0,12.6,77.4,False,False,0.6457,1.0
ebgate2a,1,167.4,180.0,12.6,77.4,False,False,0.6457,1.0
ebgate3,1,0.1,0.0,0.1,0.1,False,False,0.1028,1.0
ebgate3a,1,0.1,0.0,0.1,0.1,False,False,0.1028,1.0
ebgate4,1,-122.08,-90.0,32.08,32.08,True,False,0.4286,1.0
ebgate4a,1,-122.08,-90.0,32.08,32.08,True,False,0.4286,1.0
ebinhi1,1,155.16,180.0,24.84,65.16,False,False,0.4564,1.0
ebinhi1a,1,155.16,180.0,24.84,65.16,False,False,0.4564,1.0
ebinlow1,1,0.2,0.0,0.2,0.2,False,False,0.1702,1.0
ebinlow2,1,0.2,0.0,0.2,0.2,False,False,0.1702,1.0
ebinmid1,1,38.02,0.0,38.02,38.02,True,False,0.1948,-1.0
ebinmid2,1,-35.29,0.0,35.29,35.29,True,False,0.006,-1.0
ebinmid3,1,6.51,0.0,6.51,6.51,False,False,0.4531,-1.0
ebinmid4,1,38.02,0.0,38.02,38.02,True,False,0.1948,-1.0
ebinmid5,1,-35.29,0.0,35.29,35.29,True,False,0.006,-1.0
ebinmid6,1,6.51,0.0,6.51,6.51,False,False,0.4531,-1.0
ebinto1,1,-69.43,-90.0,20.57,69.43,False,False,0.0599,1.0
ebinto2,1,89.85,90.0,0.15,89.85,False,False,0.1365,1.0
ebinto3,1,6.51,0.0,6.51,6.51,False,False,0.4531,-1.0
ebroad11,1,0.8,0.0,0.8,0.8,False,False,0.9019,-1.0
ebroad12,1,1.36,0.0,1.36,1.36,False,False,0.8959,-1.0
ebroad13,1,1.36,0.0,1.36,1.36,False,False,0.8959,-1.0
ebroad21,1,87.64,90.0,2.36,87.64,False,False,0.9769,-1.0
ebroad22,1,87.64,90.0,2.36,87.64,False,False,0.9769,-1.0
ebroad23,1,87.64,90.0,2.36,87.64,False,False,0.9769,-1.0
ebroad31,1,6.32,0.0,6.32,6.32,False,False,0.3088,-1.0
ebroad32,1,56.54,90.0,33.46,56.54,False,False,0.2524,-1.0
ebroad33,1,56.54,90.0,33.46,56.54,False,False,0.2524,-1.0
ebroad41,1,86.44,90.0,3.56,86.44,False,False,0.9278,-1.0
ebroad42,1,53.85,90.0,36.15,53.85,False,False,0.3291,-1.0
ebroad43,1,53.85,90.0,36.15,53.85,False,False,0.3291,-1.0
ebroad5,1,22.74,0.0,22.74,22.74,False,False,0.1257,-1.0
ebroad6,1,-16.01,0.0,16.01,16.01,False,False,0.079,1.0
ebroad6a,1,-16.01,0.0,16.01,16.01,False,False,0.079,1.0
ebroad7,1,-20.88,0.0,20.88,20.88,False,False,0.3073,-1.0
ebroad7a,1,-20.88,0.0,20.88,20.88,False,False,0.3073,-1.0
ebroad8,1,22.54,0.0,22.54,22.54,False,False,0.0911,-1.0
ebroad8a,1,22.54,0.0,22.54,22.54,False,False,0.0911,-1.0
ebroad9,1,80.64,90.0,9.36,80.64,False,False,0.296,-1.0
ebroad9a,1,80.64,90.0,9.36,80.64,False,False,0.296,-1.0
eccway11,1,-3.35,0.0,3.35,3.35,False,False,0.2089,-1.0
eccway12,1,-1.9,0.0,1.9,1.9,False,False,0.2455,-1.0
eccway13,1,-3.35,0.0,3.35,3.35,False,False,0.2089,-1.0
eccway14,1,-1.9,0.0,1.9,1.9,False,False,0.2455,-1.0
eccway21,1,-17.4,0.0,17.4,17.4,False,False,0.0652,-1.0
eccway22,1,-17.4,0.0,17.4,17.4,False,False,0.0652,-1.0
eccway31,1,-77.01,-90.0,12.99,77.01,False,False,0.0374,-1.0
eccway32,1,-77.01,-90.0,12.99,77.01,False,False,0.0374,-1.0
eccway41,1,-1.9,0.0,1.9,1.9,False,False,0.2455,-1.0
eccway42,1,-1.9,0.0,1.9,1.9,False,False,0.2455,-1.0
ecenc1,1,-0.01,0.0,0.01,0.01,False,False,0.0371,1.0
ecenc2,1,0.0,0.0,0.0,0.0,False,False,0.1755,-1.0
ecenc3,1,0.0,0.0,0.0,0.0,False,False,0.1755,-1.0
ecenter1,1,-8.91,0.0,8.91,8.91,False,False,0.3415,-1.0
ecenter2,1,-55.76,-90.0,34.24,55.76,False,False,0.2017,-1.0
ecenter3,1,-8.91,0.0,8.91,8.91,False,False,0.3415,-1.0
eciway11,1,0.39,0.0,0.39,0.39,False,False,0.0449,-1.0
eciway12,1,-37.11,0.0,37.11,37.11,True,False,0.258,1.0
eciway13,1,0.39,0.0,0.39,0.39,False,False,0.0449,-1.0
eciway14,1,-37.11,0.0,37.11,37.11,True,False,0.258,1.0
ecmall1,1,-0.41,0.0,0.41,0.41,False,False,0.0386,-1.0
ecmall1a,1,-0.41,0.0,0.41,0.41,False,False,0.0386,-1.0
ecmview1,1,-38.01,0.0,38.01,38.01,True,False,0.451,-1.0
ecmview2,1,-38.01,0.0,38.01,38.01,True,False,0.451,-1.0
ecmway1,1,-49.19,-90.0,40.81,49.19,False,False,0.1797,-1.0
ecmway1a,1,-49.19,-90.0,40.81,49.19,False,False,0.1797,-1.0
ecopen1,1,23.45,0.0,23.45,23.45,False,False,0.1089,1.0
ecopen1a,1,23.45,0.0,23.45,23.45,False,False,0.1089,1.0
ecopen2,1,-16.2,0.0,16.2,16.2,False,False,0.3451,-1.0
ecopen2a,1,-16.2,0.0,16.2,16.2,False,False,0.3451,-1.0
ecopen3,1,4.69,0.0,4.69,4.69,False,False,0.3904,-1.0
ecopen3a,1,4.69,0.0,4.69,4.69,False,False,0.3904,-1.0
ecopen4,1,20.27,0.0,20.27,20.27,False,False,0.1258,1.0
ecopen4a,1,20.27,0.0,20.27,20.27,False,False,0.1258,1.0
ecoway1,1,8.99,0.0,8.99,8.99,False,False,0.0983,-1.0
ecoway1a,1,8.99,0.0,8.99,8.99,False,False,0.0983,-1.0
ecoway2,1,-38.61,0.0,38.61,38.61,True,False,0.1841,-1.0
ecoway2a,1,-38.61,0.0,38.61,38.61,True,False,0.1841,-1.0
ecoway3,1,3.99,0.0,3.99,3.99,False,False,0.0245,-1.0
ecoway3a,1,3.99,0.0,3.99,3.99,False,False,0.0245,-1.0
ecpview1,1,0.0,0.0,0.0,0.0,False,False,0.1685,1.0
ecpview2,1,0.0,0.0,0.0,0.0,False,False,0.1685,1.0
ecpway1,1,-36.41,0.0,36.41,36.41,True,False,0.0218,-1.0
ecpway1a,1,-36.41,0.0,36.41,36.41,True,False,0.0218,-1.0
ectake1,1,5.3,0.0,5.3,5.3,False,False,0.0733,-1.0
ectake2,1,48.79,90.0,41.21,48.79,False,False,0.0541,1.0
ectake3,1,-0.01,0.0,0.01,0.01,False,False,0.28,1.0
edlabo1,1,104.81,90.0,14.81,14.81,False,False,0.1027,-1.0
edlabo1a,1,104.81,90.0,14.81,14.81,False,False,0.1027,-1.0
edlabo1b,1,104.81,90.0,14.81,14.81,False,False,0.1027,-1.0
